scientificname,longitude,latitude,depth,taxonRank,occurrenceStatus,phylum,class,date_time,AphiaID
Synechococcus,-170.067,-60.233,90.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-02-21,160572.0
Synechococcus,-170.098,-64.833,10.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-01-18,160572.0
Synechococcus,-170.098,-64.833,102.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-01-18,160572.0
Synechococcus,-170.098,-64.833,155.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-01-18,160572.0
Synechococcus,-170.098,-64.833,198.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-01-18,160572.0
Synechococcus,-170.098,-64.833,22.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-01-18,160572.0
Synechococcus,-170.098,-64.833,41.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-01-18,160572.0
Synechococcus,-170.098,-64.833,6.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-01-18,160572.0
Synechococcus,-170.098,-64.833,62.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-01-18,160572.0
Synechococcus,-170.098,-64.833,82.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-01-18,160572.0
Synechococcus,-170.112,-67.52,102.0,GENUS,PRESENT,Cyanobacteria,Cyanophyceae,1998-01-16,160572.0
