,,,,,,PRIMARY PIGMENTS,,,,,,,,,,,,SECONDARY PIGMENTS,,,,,,,TERTIARY PIGMENTS,,,,,,ANCILLARY PIGMENT
Sample ID,lat (deg N),lon (deg E),Date,Time (GMT),yearday,[Tot_Chl_a],[Tot_Chl_b],[Tot_Chl_c],[Alpha_beta_Car],[But fuco],[Hex fuco],[Allo],[Diadino],[Diato],[Fuco],[Perid],[Zea],[MV_Chl_a],[DV_Chl_a],[Chlide_a],[MV_Chl _b],[DV_Chl_b],[Chl c12],[Chl_c3],[Lut],[Neo],[Viola],[Phytin_a],[Phide_a],[Pras],[Gyro]
F75,9.62733,-30.49172,28/Oct,2:18,301.09584,0.108,0.008,0.011,0.014,0.005,0.017,0.0009999,0.006,0.0009999,0.006,0.002,0.067,0.058,0.043,0.007,0.004,0.004,0.006,0.005,0.001,0.0009999,0.001,0.001,0.0009999,0.0009999,0.0009999
F76,9.40467,-30.29333,28/Oct,6:11,301.25765,0.129,0.01,0.013,0.018,0.005,0.018,0.001,0.006,0.001,0.006,0.002,0.078,0.07,0.053,0.006,0.004,0.006,0.007,0.006,0.001,0.0009999,0.001,0.002,0.005,0.0009999,0.0009999
F77,8.732,-29.83417,28/Oct,10:50,301.4514,0.245,0.01,0.029,0.025,0.006,0.028,0.0009999,0.028,0.003,0.037,0.004,0.071,0.153,0.038,0.054,0.006,0.004,0.02,0.009,0.0009999,0.0009999,0.002,0.003,0.012,0.0009999,0.0009999
F78,8.17088,-29.42327,28/Oct,16:26,301.68473,0.153,0.007,0.011,0.02,0.004,0.015,0.0009999,0.011,0.002,0.007,0.004,0.095,0.078,0.055,0.02,0.003,0.004,0.006,0.005,0.0009999,0.0009999,0.002,0.002,0.001,0.0009999,0.0009999
F79,7.60902,-29.0213,28/Oct,20:28,301.85279,0.154,0.009,0.013,0.022,0.005,0.017,0.0009999,0.006,0.001,0.007,0.002,0.103,0.079,0.054,0.021,0.004,0.005,0.007,0.006,0.0009999,0.0009999,0.001,0.002,0.001,0.0009999,0.0009999
F80,7.18035,-28.72267,28/Oct,23:32,301.98057,0.128,0.008,0.011,0.017,0.004,0.016,0.0009999,0.007,0.001,0.005,0.002,0.088,0.061,0.057,0.01,0.003,0.005,0.006,0.005,0.0009999,0.0009999,0.001,0.001,0.001,0.0009999,0.0009999
F81,6.7585,-28.41717,29/Oct,2:31,302.10487,0.141,0.009,0.011,0.019,0.004,0.014,0.0009999,0.006,0.001,0.006,0.002,0.081,0.069,0.052,0.02,0.004,0.005,0.006,0.005,0.0009999,0.0009999,0.001,0.002,0.001,0.0009999,0.0009999
F82,6.54383,-28.27217,29/Oct,6:31,302.27154,0.147,0.01,0.013,0.017,0.005,0.019,0.0009999,0.005,0.0009999,0.005,0.002,0.069,0.081,0.061,0.005,0.004,0.006,0.007,0.006,0.0009999,0.0009999,0.001,0.002,0.0009999,0.0009999,0.0009999
F83,5.89383,-27.79533,29/Oct,11:17,302.47015,0.166,0.01,0.013,0.021,0.004,0.018,0.0009999,0.014,0.0025,0.0055,0.002,0.084,0.083,0.0645,0.0185,0.0045,0.0055,0.007,0.006,0.0009999,0.0009999,0.002,0.002,0.00099995,0.0009999,0.0009999
F84,5.5957,-27.58027,29/Oct,13:26,302.55973,0.157,0.007,0.01,0.02,0.003,0.014,0.0009999,0.014,0.003,0.005,0.003,0.092,0.08,0.053,0.024,0.003,0.004,0.005,0.005,0.0009999,0.0009999,0.001,0.002,0.001,0.0009999,0.0009999
F85,5.78833,-27.20325,29/Oct,18:58,302.79029,0.179,0.011,0.014,0.024,0.005,0.02,0.0009999,0.008,0.001,0.007,0.003,0.104,0.084,0.069,0.026,0.005,0.006,0.008,0.006,0.0009999,0.0009999,0.002,0.002,0.001,0.0009999,0.0009999
